(1): Hidden nodes: 1, bias: 0.09471596032381058, R^2: 0.3919904839878261, RMSE: 0.43450310826301575 
(2): Hidden nodes: 1, bias: 0.09456594288349152, R^2: 0.3923777914098198, RMSE: 0.43427613377571106 
(3): Hidden nodes: 1, bias: 0.09483090043067932, R^2: 0.39300473643900746, RMSE: 0.4340769052505493 

(1): Hidden nodes: 2, bias: 0.0084462221711874, R^2: 0.22844841468734328, RMSE: 0.4806751012802124 
(2): Hidden nodes: 2, bias: 0.008402707055211067, R^2: 0.22872310675992, RMSE: 0.4805717170238495 
(3): Hidden nodes: 2, bias: 0.009543560445308685, R^2: 0.22945384370889002, RMSE: 0.4804615080356598 

(1): Hidden nodes: 3, bias: 0.03332848474383354, R^2: 0.2640397957536319, RMSE: 0.46674638986587524 
(2): Hidden nodes: 3, bias: 0.033327121287584305, R^2: 0.2635298342702123, RMSE: 0.4670039415359497 
(3): Hidden nodes: 3, bias: 0.033448830246925354, R^2: 0.2638388371622097, RMSE: 0.46700534224510193 

(1): Hidden nodes: 4, bias: -0.00342886452563107, R^2: 0.31880474268780895, RMSE: 0.4426789879798889 
(2): Hidden nodes: 4, bias: -0.004378228448331356, R^2: 0.32034709920679116, RMSE: 0.44203296303749084 
(3): Hidden nodes: 4, bias: -0.003981578629463911, R^2: 0.3195255464754889, RMSE: 0.44243547320365906 

(1): Hidden nodes: 5, bias: -0.04955131933093071, R^2: 0.28316372121527233, RMSE: 0.45860227942466736 
(2): Hidden nodes: 5, bias: -0.04961659014225006, R^2: 0.28243741142852286, RMSE: 0.4590425491333008 
(3): Hidden nodes: 5, bias: -0.05055868625640869, R^2: 0.28428781436204265, RMSE: 0.4580692946910858 

(1): Hidden nodes: 6, bias: -0.06793542206287384, R^2: 0.34882131004465944, RMSE: 0.43619370460510254 
(2): Hidden nodes: 6, bias: -0.06753059476613998, R^2: 0.35132064318976974, RMSE: 0.4352889955043793 
(3): Hidden nodes: 6, bias: -0.06481059640645981, R^2: 0.3628594586553318, RMSE: 0.43160954117774963 

(1): Hidden nodes: 7, bias: -0.028693048283457756, R^2: 0.300487254910503, RMSE: 0.4504172205924988 
(2): Hidden nodes: 7, bias: -0.026402615010738373, R^2: 0.3194163186921979, RMSE: 0.4449102282524109 
(3): Hidden nodes: 7, bias: -0.026505814865231514, R^2: 0.31904539371314583, RMSE: 0.4450703263282776 

(1): Hidden nodes: 8, bias: -0.0043444084003567696, R^2: 0.29753993202758106, RMSE: 0.4537431001663208 
(2): Hidden nodes: 8, bias: -0.0075312028639018536, R^2: 0.30031380797978485, RMSE: 0.452216237783432 
(3): Hidden nodes: 8, bias: -0.008024821057915688, R^2: 0.30127342888647285, RMSE: 0.45164716243743896 

(1): Hidden nodes: 9, bias: -0.0013815393904224038, R^2: 0.20622666805127532, RMSE: 0.49330002069473267 
(2): Hidden nodes: 9, bias: -0.0030924032907932997, R^2: 0.15961065227551968, RMSE: 0.5076859593391418 
(3): Hidden nodes: 9, bias: 0.00014723508502356708, R^2: 0.19175979088191153, RMSE: 0.49819043278694153 

(1): Hidden nodes: 10, bias: -0.021204445511102676, R^2: 0.2562145807338776, RMSE: 0.47457438707351685 
(2): Hidden nodes: 10, bias: -0.022105474025011063, R^2: 0.2515325098861341, RMSE: 0.4758557081222534 
(3): Hidden nodes: 10, bias: -0.0202820785343647, R^2: 0.2581045316342981, RMSE: 0.47417446970939636
