PredSIT,X,Y
1.5806596,1555.6890834191352,944303.2736355028
1.7233958,-197572.393804994,919411.6908563118
1.6908133,-172681.25240548732,919410.9925373251
1.6892477,-147790.16390267762,919410.38806824
1.6616555,-122899.12067665461,919409.8774671248
1.6516937,-98008.11510524736,919409.4607492257
1.6976697,-73117.13956440889,919409.1379269286
1.6816797,-48226.18642860731,919408.9090099103
1.6333574,-23335.248071191276,919408.7740049423
1.5739825,1555.683135221991,919408.7329161044
1.4991325,26446.614818371738,919408.7857445871
1.491822,51337.554605975485,919408.9324888346
1.4804151,76228.51012534255,919409.1731444445
1.4660074,101119.48900300988,919409.5077042889
1.4112659,126010.49886433917,919409.9361583275
1.3622195,150901.5473331654,919410.4584938221
1.3651581,175792.64203139968,919411.0746951965
1.3881916,200683.79057864388,919411.7847440207
1.7240033,-297136.5352867055,894520.9831929636
1.759933,-272245.1986416886,894519.9383941212
1.7520336,-247353.94537317296,894518.9848400924
1.7536774,-222462.76787128605,894518.1225593679
1.7219616,-197571.6585223569,894517.3515775994
1.6763724,-172680.60970935613,894516.6719178397
1.6900547,-147789.61381222794,894516.0836003271
1.6569571,-122898.66320829139,894515.5866426281
1.667795,-98007.75027261018,894515.1810595371
1.6936139,-73116.86737837868,894514.866863149
1.6833771,-48226.006897301224,894514.6440628566
1.6272346,-23335.16119996313,894514.5126652526
1.5353229,1555.677343781589,894514.4726743145
1.472793,26446.516364434538,894514.5240911843
1.4651595,51337.36349247854,894514.666914401
1.4734244,76228.22635798744,894514.9011396483
1.4502647,101119.11259025132,894515.2267599157
1.4121724,126010.02981740884,894515.643765558
1.3953029,150900.98566604927,894516.1521441073
1.3859367,175791.98776084703,894516.751880418
1.395791,200683.04372417615,894517.4429566001
1.4180723,225574.16117573262,894518.2253520461
1.4535234,250465.34773215128,894519.0990433986
1.4695499,275356.61100664485,894520.0640046385
1.463072,300247.95860858576,894521.1202069283
1.7541453,-346918.2338414116,869629.1153244363
1.7344583,-322026.79754013504,869627.9218595923
1.7204605,-297135.45985708217,869626.8170686341
1.7638131,-272244.21318834194,869625.800984476
1.7553062,-247353.04992550332,869624.8736374631
1.7414436,-222461.9624560052,869624.0350552942
1.6914108,-197570.94316348052,869623.2852628817
1.6738306,-172679.98442821272,869622.6242826208
1.6834732,-147789.07862745758,869622.052134198
