PredSIT,X,Y
1.6237197,1555.6890834191352,944303.2736355028
1.7262218,-197572.393804994,919411.6908563118
1.7834667,-172681.25240548732,919410.9925373251
1.6928049,-147790.16390267762,919410.38806824
1.6630318,-122899.12067665461,919409.8774671248
1.6354654,-98008.11510524736,919409.4607492257
1.6912099,-73117.13956440889,919409.1379269286
1.6835216,-48226.18642860731,919408.9090099103
1.6456887,-23335.248071191276,919408.7740049423
1.611772,1555.683135221991,919408.7329161044
1.4899127,26446.614818371738,919408.7857445871
1.4598206,51337.554605975485,919408.9324888346
1.5080211,76228.51012534255,919409.1731444445
1.4710356,101119.48900300988,919409.5077042889
1.4161568,126010.49886433917,919409.9361583275
1.3773518,150901.5473331654,919410.4584938221
1.3769134,175792.64203139968,919411.0746951965
1.3960726,200683.79057864388,919411.7847440207
1.6832306,-297136.5352867055,894520.9831929636
1.7267042,-272245.1986416886,894519.9383941212
1.7642429,-247353.94537317296,894518.9848400924
1.7336667,-222462.76787128605,894518.1225593679
1.7148827,-197571.6585223569,894517.3515775994
1.6965446,-172680.60970935613,894516.6719178397
1.6723192,-147789.61381222794,894516.0836003271
1.6748329,-122898.66320829139,894515.5866426281
1.6835066,-98007.75027261018,894515.1810595371
1.6875111,-73116.86737837868,894514.866863149
1.6819857,-48226.006897301224,894514.6440628566
1.6472185,-23335.16119996313,894514.5126652526
1.552488,1555.677343781589,894514.4726743145
1.4685191,26446.516364434538,894514.5240911843
1.4869895,51337.36349247854,894514.666914401
1.499889,76228.22635798744,894514.9011396483
1.4933676,101119.11259025132,894515.2267599157
1.450838,126010.02981740884,894515.643765558
1.3973199,150900.98566604927,894516.1521441073
1.401487,175791.98776084703,894516.751880418
1.4275876,200683.04372417615,894517.4429566001
1.4487246,225574.16117573262,894518.2253520461
1.4607729,250465.34773215128,894519.0990433986
1.4798311,275356.61100664485,894520.0640046385
1.5076672,300247.95860858576,894521.1202069283
1.7651306,-346918.2338414116,869629.1153244363
1.6785244,-322026.79754013504,869627.9218595923
1.7373182,-297135.45985708217,869626.8170686341
1.7272885,-272244.21318834194,869625.800984476
1.763118,-247353.04992550332,869624.8736374631
1.7292553,-222461.9624560052,869624.0350552942
1.6728612,-197570.94316348052,869623.2852628817
1.6858343,-172679.98442821272,869622.6242826208
1.6566561,-147789.07862745758,869622.052134198
1.6474712,-122898.21813585663,869621.5688347322
1.6711897,-98007.39532577325,869621.1743985278
1.6672107,-73116.60256772734,869620.8688374419
1.6825686,-48225.8322307269,869620.6521605302
1.6236641,-23335.076682671242,869620.5243742334
1.5529467,1555.671709271014,869620.4854823997
1.4533267,26446.420578292003,869620.5354861901
1.4849638,51337.177557556424,869620.6743840664
1.4842315,76227.9502798264,869620.9021719028
1.4553446,101118.74637708477,869621.2188429335
1.4345251,126009.57348015517,869621.6243877399
1.4073774,150900.43921830828,869622.1187941708
1.4000974,175791.35121891173,869622.7020475373
1.4052751,200682.31710702035,869623.3741304231
1.4527913,225573.3445050313,869624.1350228473
1.4770962,250464.44103225952,869624.9847020695
1.4976794,275355.61430460226,869625.9231427839
1.4934347,300246.87193413347,869626.9503169995
1.5097132,325138.22152871505,869628.0661940281
1.4856496,350029.6706916845,869629.2707406763
1.8782269,-421591.7281536753,844739.1453411294
1.8890145,-396700.0377109741,844737.7273610178
1.8684148,-371808.4687088765,844736.3954348112
1.7964443,-346917.0135566997,844735.1496021887
1.761766,-322025.6646581539,844733.989900377
1.7369413,-297134.4144115998,844732.9163638685
1.7640977,-272243.2552105598,844731.9290247668
1.7462852,-247352.179443985,844731.0279124783
1.7574373,-222461.17949667637,844730.213053813
1.6780946,-197570.24774969663,844729.484473115
1.6760715,-172679.3765807082,844728.8421921126
1.6985328,-147788.5583643426,844728.2862298738
1.7073997,-122897.78547263207,844727.8166030289
1.7009974,-98007.0502753375,844727.433325525
1.6828909,-73116.34514035849,844727.1364088298
1.6823381,-48225.66243409584,844726.9258617411
1.6508651,-23334.994521838504,844726.8016905665
1.5500838,1555.6662318583258,844726.763899003
1.477989,26446.327462795918,844726.8124881438
1.472247,51336.996806751435,844726.9474565564
1.4797379,76227.68189910032,844727.1688002334
1.4416873,101118.39037443574,844727.4765125951
1.4130301,126009.1298661816,844727.870584403
1.4124743,150899.90800623706,844728.3510039849
1.3744426,175790.73242458064,844728.9177570542
1.4164898,200681.6107488619,844729.5708266064
1.4484131,225572.55060410645,844730.3101933099
1.4753958,250463.5596122312,844731.1358350404
1.4935094,275354.645391742,844732.047727209
1.4939828,300245.8155573364,844733.045842663
1.5234212,325137.07771949447,844734.1301516049
1.4885795,350028.43948414875,844735.3006217462
1.5014148,374919.9084522457,844736.5572181318
1.4948077,399811.4922194252,844737.8999033003
1.9456003,-446482.02317701594,819846.7812344513
1.8882339,-421590.28844592295,819845.3210738068
1.908947,-396698.68278299656,819843.9444181944
1.8421378,-371807.19860107737,819842.6513086536
1.7949343,-346915.82830697123,819841.4417837408
1.7705119,-322024.56430181913,819840.3158795118
1.7348464,-297133.3989814852,819839.2736295438
1.7336456,-272242.3247369232,819838.3150649073
1.8235728,-247351.3339545633,819837.4402141821
1.7101127,-222460.4190166676,819836.6491033846
1.6779906,-197569.57230176002,819835.9417561251
1.6676781,-172678.78618496459,819835.3181934822
1.6925942,-147788.05303839012,819834.7784340171
1.6972759,-122897.36523151747,819834.3224937945
1.7291278,-98006.71513158413,819833.9503864264
1.695679,-73116.09510394589,819833.6621229638
1.6966109,-48225.49751246895,819833.4577119818
1.6545533,-23334.91471991322,819833.337159628
1.5830494,1555.6609117062696,819833.3004694434
1.4775112,26446.237020726774,819833.3476425256
1.4605843,51336.82124545789,819833.4786774633
1.4258927,76227.42122381063,819833.6935703707
1.4338647,101118.04459291053,819833.9923148308
1.4190466,126008.6989887292,819834.3749019821
1.4192592,150899.39204568762,819834.8413203877
1.4301083,175790.13139630048,819835.3915561989
1.4364864,200680.9246707637,819836.025592966
1.455599,225571.7794966314,819836.7434118977
1.4875623,250462.70349835505,819837.5449915105
1.509005,275353.7042969792,819838.430307956
1.5157593,300244.7895097318,819839.399334865
1.5027698,325135.96674965485,819840.4520433891
1.4879038,350027.24362516974,819841.5884020653
1.4900748,374918.62773980055,819842.8083770754
1.490626,399810.1266917157,819844.1119320405
1.5118773,424701.74807337305,819845.4990280868
1.5319501,449593.49947113177,819846.9696238296
1.9939331,-496264.2664971514,794956.2388089184
1.9710302,-471372.33303332166,794954.6606601573
1.8745648,-446480.54383888055,794953.1634204468
1.8693489,-421588.89133744343,794951.7471344426
1.8799345,-396697.3679458176,794950.4118443651
1.839908,-371805.9660744044,794949.1575900454
1.789738,-346914.67812757136,794947.98440892
1.7939434,-322023.4965039765,794946.892335903
1.7558933,-297132.41359701194,794945.8814035254
1.7653365,-272241.4217951847,794944.9516419405
1.7681025,-247350.5134824532,794944.1030788283
1.6809002,-222459.68103864486,794943.3357394936
1.6808888,-197568.9168398019,794942.649646764
1.6695155,-172678.21325859177,794942.0448210839
1.7034459,-147787.56266466077,794941.52128044
1.7332443,-122896.95742503874,794941.0790404403
1.702569,-98006.3899044975,794940.7181142581
1.7159932,-73115.85246593613,794940.4385126241
1.6927701,-48225.33747076476,794940.2402438986
1.6784725,-23334.83727927327,794940.1233139051
1.6183256,1555.6557489749189,794940.0877261878
1.5380832,26446.149254776155,794940.133481804
1.5227382,51336.650878901826,794940.2605793674
1.4469218,76227.16826172176,794940.469015101
1.398018,101117.70904282063,794940.7587827921
1.3961029,126008.28086062703,794941.1298738362
1.4088241,150898.89135202745,794941.5822771764
1.4160438,175789.54815199226,794942.115979362
1.4375685,200680.25889317784,794942.7309644511
1.4784583,225571.0312055903,794943.4272141862
1.4863299,250461.8727161594,794944.2047078109
1.5236396,275352.79104837315,794945.0634221403
1.5387702,300243.79382192955,794946.0033316384
1.4958209,325134.88865231426,794947.0244082906
1.4990875,350026.0831504347,794948.1266216533
1.4981356,374917.3849222562,794949.3099388925
1.5242909,399808.8015684302,794950.5743247789
1.5276659,424700.3406838376,794951.9197415432
1.5297749,449592.00985734403,794953.3461491459
1.5519664,474483.8166712659,794954.853504974
1.5412273,499375.7687011321,794956.4417641084
2.0112214,-546046.8438861328,770066.0618907012
1.9763055,-521154.67871809576,770064.3760162912
1.9677627,-496262.67300022533,770062.7684486264
1.9801881,-471370.8191684823,770061.2392356402
1.8792653,-446479.1096512916,770059.7884229611
1.8634673,-421587.5368698543,770058.4160537941
1.859568,-396696.0932386389,770057.1221691245
1.833914,-371804.77116563113,770055.9068074793
1.8168811,-346913.56305279845,770054.7700050918
1.7704252,-322022.46129642363,770053.7117957972
1.760281,-297131.4582875377,770052.73221116
1.7773405,-272240.54641224403,770051.83128035
1.7933351,-247349.71805212603,770051.0090302051
1.7338688,-222458.9655845989,770050.26548515
1.7039928,-197568.28138334287,770049.6006673604
1.6924661,-172677.65781864614,770049.0145966659
1.7256026,-147787.08725776407,770048.5072904568
1.7358481,-122896.56206534638,770048.0787638808
1.7001853,-98006.0746037682,770047.72902961
1.7080519,-73115.61723356102,770047.4580981435
1.7052678,-48225.182313743935,770047.2659775274
1.6757257,-23334.762202225513,770047.1526734321
1.6407825,1555.6507438166848,770047.1181892623
1.6267477,26446.064167561108,770047.162526045
1.5099076,51336.48571216171,770047.2856824248
1.444659,76226.92302037323,770047.4876547948
1.4031476,101117.38373416335,770047.7684370899
1.4146992,126007.87549434359,770048.1280209882
1.4235946,150898.40594018303,770048.5663957829
1.4455552,175788.982709031,770049.083548411
1.4609402,200679.61343594568,770049.6794635147
1.5031116,225570.30575329324,770050.3541233111
1.4994355,250461.0672903984,770051.1075077471
1.4905604,275351.9056731409,770051.939594378
1.4981469,300242.8285236005,770052.8503584578
1.5220537,325133.843459627,770053.8397728029
1.4892936,350024.95809454453,770054.9078079986
1.5181776,374916.1800366898,770056.0544322063
1.5563983,399807.516889067,770057.2796112391
1.5356773,424698.97624901147,770058.5833086482
1.5565985,449590.56570772064,770059.9654855431
1.5593276,474482.2928499083,770061.4261006727
1.5255047,499374.1652534879,770062.96511052
1.5155634,524266.19048914296,770064.5824692164
1.9729829,-570937.4016934268,745174.4289132198
1.981857,-546045.1464970341,745172.7212879771
1.9624498,-521153.058357525,745171.0894127005
1.9206201,-496261.12971650047,745169.5333360629
1.8945539,-471369.3530076368,745168.0531044817
1.863272,-446477.7206570374,745166.6487620949
1.8453021,-421586.22508360964,745165.3203507351
1.841117,-396694.85869949753,745164.067910038
1.8480334,-371803.61391036987,745162.8914772704
1.7834768,-346912.48311588616,745161.791087487
1.7497603,-322021.4587100571,745160.7667735149
1.7594345,-297130.5330815615,745159.8185658018
1.7757015,-272239.69861419534,745158.9464925699
1.7370049,-247348.94768725062,745158.1505798331
1.7129968,-222458.27267583413,745157.4308512205
1.6915741,-197567.66595133088,745156.7873282485
1.6962216,-172677.11988167895,745156.2200299482
1.7018112,-147786.6268318638,745155.7289732958
1.7222692,-122896.17916420709,745155.3141728524
1.7086221,-98005.76923879459,745154.9756409946
1.7138524,-73115.38941382695,745154.7133877262
1.7025677,-48225.03204603144,745154.5274209447
1.6888275,-23334.68949100454,745154.4177460754
1.7202878,1555.645896380589,745154.384366463
1.6445496,26445.981761613024,745154.4272830993
1.5644326,51336.32575015405,745154.54649466
1.4923103,76226.68550706189,745154.7419976045
1.3991992,101117.06867661694,745155.0137861465
