PredSIT,X,Y
1.5605847,1555.6890834191352,944303.2736355028
1.6147397,-197572.393804994,919411.6908563118
1.6532909,-172681.25240548732,919410.9925373251
1.6467085,-147790.16390267762,919410.38806824
1.6687676,-122899.12067665461,919409.8774671248
1.6477358,-98008.11510524736,919409.4607492257
1.6646343,-73117.13956440889,919409.1379269286
1.5381651,-48226.18642860731,919408.9090099103
1.5525358,-23335.248071191276,919408.7740049423
1.5723977,1555.683135221991,919408.7329161044
1.5801079,26446.614818371738,919408.7857445871
1.537113,51337.554605975485,919408.9324888346
1.547022,76228.51012534255,919409.1731444445
1.5488815,101119.48900300988,919409.5077042889
1.5056949,126010.49886433917,919409.9361583275
1.449139,150901.5473331654,919410.4584938221
1.4591439,175792.64203139968,919411.0746951965
1.4669458,200683.79057864388,919411.7847440207
1.759919,-297136.5352867055,894520.9831929636
1.761774,-272245.1986416886,894519.9383941212
1.7394639,-247353.94537317296,894518.9848400924
1.6573116,-222462.76787128605,894518.1225593679
1.6267034,-197571.6585223569,894517.3515775994
1.656575,-172680.60970935613,894516.6719178397
1.6684285,-147789.61381222794,894516.0836003271
1.6967269,-122898.66320829139,894515.5866426281
1.6538291,-98007.75027261018,894515.1810595371
1.6504623,-73116.86737837868,894514.866863149
1.5822644,-48226.006897301224,894514.6440628566
1.5514913,-23335.16119996313,894514.5126652526
1.5776051,1555.677343781589,894514.4726743145
1.5763018,26446.516364434538,894514.5240911843
1.553328,51337.36349247854,894514.666914401
1.5853304,76228.22635798744,894514.9011396483
1.5334142,101119.11259025132,894515.2267599157
1.517888,126010.02981740884,894515.643765558
1.4554996,150900.98566604927,894516.1521441073
1.4481778,175791.98776084703,894516.751880418
1.4644508,200683.04372417615,894517.4429566001
1.4858857,225574.16117573262,894518.2253520461
1.4641118,250465.34773215128,894519.0990433986
1.4269059,275356.61100664485,894520.0640046385
1.4408177,300247.95860858576,894521.1202069283
1.7783117,-346918.2338414116,869629.1153244363
1.7894782,-322026.79754013504,869627.9218595923
1.7736931,-297135.45985708217,869626.8170686341
1.7668967,-272244.21318834194,869625.800984476
1.779114,-247353.04992550332,869624.8736374631
1.7059206,-222461.9624560052,869624.0350552942
1.6502793,-197570.94316348052,869623.2852628817
1.6505392,-172679.98442821272,869622.6242826208
1.6712277,-147789.07862745758,869622.052134198
1.66146,-122898.21813585663,869621.5688347322
1.66709,-98007.39532577325,869621.1743985278
1.6725192,-73116.60256772734,869620.8688374419
1.6087762,-48225.8322307269,869620.6521605302
1.537922,-23335.076682671242,869620.5243742334
1.5799395,1555.671709271014,869620.4854823997
1.608233,26446.420578292003,869620.5354861901
1.5801314,51337.177557556424,869620.6743840664
1.5930096,76227.9502798264,869620.9021719028
1.561173,101118.74637708477,869621.2188429335
1.5198851,126009.57348015517,869621.6243877399
1.4911664,150900.43921830828,869622.1187941708
1.4805039,175791.35121891173,869622.7020475373
1.4424554,200682.31710702035,869623.3741304231
1.5832087,225573.3445050313,869624.1350228473
1.5390354,250464.44103225952,869624.9847020695
1.5219721,275355.61430460226,869625.9231427839
1.4746727,300246.87193413347,869626.9503169995
1.3812691,325138.22152871505,869628.0661940281
1.3837371,350029.6706916845,869629.2707406763
1.7777715,-421591.7281536753,844739.1453411294
1.788203,-396700.0377109741,844737.7273610178
1.790394,-371808.4687088765,844736.3954348112
1.8249686,-346917.0135566997,844735.1496021887
1.776595,-322025.6646581539,844733.989900377
1.8045708,-297134.4144115998,844732.9163638685
1.840499,-272243.2552105598,844731.9290247668
1.7427245,-247352.179443985,844731.0279124783
1.7259423,-222461.17949667637,844730.213053813
1.6421521,-197570.24774969663,844729.484473115
1.6525444,-172679.3765807082,844728.8421921126
1.7222118,-147788.5583643426,844728.2862298738
1.6370087,-122897.78547263207,844727.8166030289
1.6625173,-98007.0502753375,844727.433325525
1.6725467,-73116.34514035849,844727.1364088298
1.5957346,-48225.66243409584,844726.9258617411
1.5824479,-23334.994521838504,844726.8016905665
1.5747361,1555.6662318583258,844726.763899003
1.6203498,26446.327462795918,844726.8124881438
1.5854762,51336.996806751435,844726.9474565564
1.5594025,76227.68189910032,844727.1688002334
1.5459532,101118.39037443574,844727.4765125951
1.5289599,126009.1298661816,844727.870584403
1.4960086,150899.90800623706,844728.3510039849
1.5153259,175790.73242458064,844728.9177570542
1.5161555,200681.6107488619,844729.5708266064
1.5559561,225572.55060410645,844730.3101933099
1.5201821,250463.5596122312,844731.1358350404
1.5177621,275354.645391742,844732.047727209
1.4474803,300245.8155573364,844733.045842663
1.4410253,325137.07771949447,844734.1301516049
1.4033546,350028.43948414875,844735.3006217462
1.3402733,374919.9084522457,844736.5572181318
1.3697817,399811.4922194252,844737.8999033003
1.7506766,-446482.02317701594,819846.7812344513
1.743705,-421590.28844592295,819845.3210738068
1.7866626,-396698.68278299656,819843.9444181944
1.8108548,-371807.19860107737,819842.6513086536
1.8256342,-346915.82830697123,819841.4417837408
1.8267789,-322024.56430181913,819840.3158795118
1.8099593,-297133.3989814852,819839.2736295438
1.8019845,-272242.3247369232,819838.3150649073
1.7650859,-247351.3339545633,819837.4402141821
1.7240216,-222460.4190166676,819836.6491033846
